Team Name,Division,Conference,Wins,Loss,Percent,Avg Margin,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
"",,,,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,4,10,0.286,-25.6,4429,4736,-307,3,6,1,4,1,4,4,8,1,1,0,0
Tag Em & Bag Em,G.O.O.D.,Western,9,5,0.643,-33.2,4850,5248,-398,4,1,5,4,5,1,9,5,2,0,0,0
Miller Time,G.O.O.D.,Western,9,6,0.6,126.3,6285,4517,1768,4,3,5,3,3,3,7,6,1,0,0,0
Toshiba Auggie,G.O.O.D.,Western,8,6,0.571,48.0,5594,5018,576,3,2,5,4,4,3,7,6,2,0,0,0
The Big Fellas,G.O.O.D.,Western,3,11,0.214,-290.2,1936,4548,-2612,2,5,1,6,2,4,3,10,2,3,0,0
"",,,,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,13,0.071,-169.5,686,1025,-339,1,6,0,7,0,6,1,11,1,11,0,0
Book Masters,Cash Money,Western,4,10,0.286,-103.2,4007,5142,-1135,2,4,2,6,1,3,4,8,1,2,0,0
That Couple,Cash Money,Western,7,6,0.538,-37.0,3938,4308,-370,4,4,3,2,2,3,7,5,3,0,0,0
Star Studded,Cash Money,Western,11,3,0.786,16.0,4406,4246,160,7,1,4,2,5,1,11,3,4,0,0,0
Hands On Deck,Cash Money,Western,12,2,0.857,227.1,5491,2993,2498,6,2,6,0,5,0,11,1,3,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,12,2,0.857,166.1,5901,3908,1993,7,0,5,2,4,2,10,2,2,0,0,0
Kimasha,Death Row,Western,5,8,0.385,-66.4,3775,4439,-664,4,3,1,5,3,3,5,8,1,2,0,0
Kingdom Minded,Death Row,Western,0,14,0.0,-286.5,473,1046,-573,0,7,0,7,0,6,0,12,0,12,0,0
Blind 7's,Death Row,Western,6,6,0.5,-147.2,2647,4119,-1472,4,3,2,3,3,1,6,6,2,0,0,0
Dubs,Death Row,Western,13,6,0.684,56.5,6890,6042,848,8,1,5,5,4,2,12,6,4,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,7,7,0.5,106.4,5416,4139,1277,2,5,5,2,4,2,7,6,0,2,0,0
N.M.O.E,Bad Boy,Eastern,4,10,0.286,-233.4,3087,5654,-2567,1,7,3,3,2,3,3,10,3,0,0,0
Knuck If You Stuck,Bad Boy,Eastern,9,5,0.643,-44.9,4610,5104,-494,4,2,5,3,3,2,8,5,3,0,0,0
Gerow Animals,Bad Boy,Eastern,12,2,0.857,230.5,5739,3203,2536,7,0,5,2,5,1,12,1,2,1,0,0
Double D's,Bad Boy,Eastern,5,9,0.357,-119.5,5149,6703,-1554,3,3,2,6,0,6,5,8,0,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,6,8,0.429,92.1,3528,2791,737,1,5,5,3,2,3,6,7,1,5,0,0
Team Bui,State Property,Eastern,13,1,0.929,318.8,6444,2299,4145,5,1,8,0,7,0,12,1,1,0,0,0
Yonkers Southside,State Property,Eastern,7,7,0.5,-63.6,5052,5815,-763,3,6,4,1,3,3,7,6,1,1,0,0
Ol Dirty,State Property,Eastern,9,5,0.643,117.1,5791,4152,1639,5,2,4,3,2,4,8,5,0,0,0,0
Harry Potheads,State Property,Eastern,5,10,0.333,-50.1,5288,5990,-702,3,5,2,5,1,5,4,9,0,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,5,9,0.357,-230.1,3251,6242,-2991,2,4,3,5,3,3,3,9,1,0,0,0
Twin N Em,So So Def,Eastern,6,7,0.462,-60.1,4372,5033,-661,1,4,5,3,2,4,4,7,0,2,0,0
TNT,So So Def,Eastern,8,7,0.533,89.0,5945,4699,1246,6,3,2,4,6,2,7,6,1,0,0,0
Team Robinson,So So Def,Eastern,6,9,0.4,-94.0,3425,4459,-1034,3,5,3,4,2,5,6,9,3,1,0,0
A Team,So So Def,Eastern,6,8,0.429,-56.2,5144,5931,-787,2,5,4,3,3,2,5,8,0,0,0,0
